연도,총인구수,소비량,재배면적,생산량
1992,"44,503,200",112.9,"1,156,885","5,330,826"
1993,"45,001,113",110.2,"1,135,812","4,749,562"
1994,"45,416,339",108.3,"1,102,608","5,059,764"
1995,"45,858,029",106.5,"1,055,868","4,694,956"
1996,"46,266,256",104.9,"1,049,556","5,322,962"
1997,"46,684,069",102.4,"1,052,395","5,449,561"
1998,"46,991,171",99.2,"1,058,927","5,096,879"
1999,"47,335,678",96.9,"1,066,203","5,262,700"
2000,"47,732,558",93.6,"1,072,363","5,290,771"
2001,"48,021,543",88.9,"1,083,125","5,514,796"
2002,"48,229,948",87,"1,053,186","4,926,746"
2003,"48,386,823",83.2,"1,016,030","4,451,135"
2004,"48,583,805",82,"1,001,159","5,000,149"
2005,"48,782,274",80.7,"979,717","4,768,368"
2006,"48,991,779",78.8,"955,229","4,679,991"
2007,"49,268,928",76.9,"950,250","4,407,743"
2008,"49,540,367",75.8,"935,766","4,843,478"
2009,"49,773,145",74,"924,471","4,916,080"
2010,"50,515,666",72.8,"892,074","4,295,413"
2011,"50,734,284",71.2,"853,823","4,224,019"
2012,"50,948,272",69.8,"849,172","4,006,185"
2013,"51,141,463",67.2,"832,625","4,230,011"
2014,"51,327,916",65.1,"815,506","4,240,739"
2015,"51,529,338",62.9,"799,344","4,326,915"
2016,"51,696,216",61.9,"778,734","4,196,691"
2017,"51,778,544",61.8,"754,713","3,972,468"
2018,"51,826,059",61,"737,673","3,868,045"
2019,"51,849,861",59.2,"729,814","3,744,450"
2020,"51,829,023",57.7,"726,432","3,506,578"
2021,"51,638,809",56.9,"732,477","3,881,601"
2022,"51,439,038",56.7,"727,054","3,763,700"
2023,"51,325,329",56.4,"708,012","3,702,239"